hex,nacetyl,deoxyhexose,sialicacid,sulphate,amino,omethyl,oacetyl,pent,phosphate,glyconnect_id,glytoucan_id,mass
11,6,2,0,0,0,0,0,1,0,599,G66951WQ,2470.9091
8,4,0,0,0,0,1,0,1,0,813,G66951WQ,1624.5974
11,6,1,0,0,0,1,0,1,0,837,G66951WQ,2338.8669
8,4,0,0,0,0,2,0,1,0,814,G66951WQ,1638.6131
6,2,0,0,0,0,0,0,1,0,217,G66951WQ,1204.4229
6,2,0,0,0,0,0,0,0,0,652,G66538GV,1072.3806
9,4,1,2,1,0,0,0,0,0,207,G41917DR,2448.7977
9,4,1,1,1,0,0,0,0,0,608,G98846QS,2157.7023
9,4,0,0,1,0,0,0,0,0,144,G83545KK,1720.549
9,5,0,1,1,0,0,0,0,0,86,G46422KL,2052.671
8,4,1,0,1,0,0,0,0,0,512,G06816RN,1704.5541
7,4,0,0,1,0,0,0,0,0,342,G06816RN,1396.4434
8,4,0,0,1,0,0,0,0,0,741,G53572WH,1558.4962
9,5,0,0,1,0,0,0,0,0,535,G56345UO,1761.5756
8,5,0,0,1,0,0,0,0,0,630,G40671AG,1599.5228
6,3,1,0,0,0,0,0,3,0,237,G40671AG,1655.592
6,3,1,0,0,0,0,0,2,0,129,G40671AG,1523.5497
7,4,1,0,0,0,0,0,2,0,365,G40671AG,1726.6291
7,4,1,0,0,0,0,0,3,0,736,G40671AG,1858.6714
7,4,3,0,0,0,0,0,1,0,39,G40671AG,1886.7026
7,4,2,0,0,0,0,0,2,0,242,G40671AG,1872.687
6,3,3,0,0,0,0,0,1,0,530,G40671AG,1683.6232
6,3,2,0,0,0,0,0,2,0,730,G40671AG,1669.6076
6,3,2,0,0,0,0,0,1,0,575,G40671AG,1537.5653
7,4,2,0,0,0,0,0,1,0,502,G40671AG,1740.6447
9,6,0,0,1,0,0,0,0,0,293,G32673DL,1802.6022
9,4,1,0,1,0,0,0,0,0,450,G64327YL,1866.6069
9,6,1,0,1,0,0,0,0,0,55,G13441ZL,1948.6601
7,3,1,1,0,0,0,0,0,0,286,G11870QZ,1712.6133
11,6,1,3,0,0,0,0,0,0,336,G54740VA,3066.0951
12,6,1,3,0,0,0,0,0,0,288,G62461SM,3228.1479
16,6,0,0,0,0,7,0,1,0,878,G62461SM,3087.1672
16,6,1,0,0,0,7,0,1,0,879,G62461SM,3233.2251
11,4,1,0,0,0,4,0,1,0,862,G62461SM,2298.8608
9,4,0,0,0,0,2,0,1,0,824,G62461SM,1800.6659
9,4,1,0,0,0,2,0,1,0,833,G62461SM,1946.7238
15,6,0,0,0,0,6,0,1,0,872,G62461SM,2911.0987
14,6,1,0,0,0,5,0,1,0,869,G62461SM,2881.0881
11,4,0,0,0,0,4,0,0,0,860,G62461SM,2020.7606
10,4,1,0,0,0,3,0,1,0,844,G62461SM,2122.7923
10,4,0,0,0,0,3,0,1,0,843,G62461SM,1976.7344
11,4,0,0,0,0,4,0,1,0,861,G62461SM,2152.8029
15,6,1,0,0,0,6,0,1,0,873,G62461SM,3057.1566
10,4,0,0,0,0,3,0,0,0,842,G62461SM,1844.6921
9,4,0,0,0,0,0,0,0,0,9,G50045TK,1640.5922
11,5,0,0,0,0,0,0,0,0,240,G20425TQ,2005.7244
12,6,1,2,0,0,0,0,0,0,454,G57888GL,2937.0525
13,6,0,3,1,0,0,0,0,0,100,G23092XT,3324.0996
11,5,0,1,1,0,0,0,0,0,31,G09285QR,2376.7766
17,10,1,4,0,0,0,0,0,0,236,G67596QA,4493.6137
9,5,1,1,1,0,0,0,0,0,333,G28975ZZ,2198.7289
16,9,1,4,0,0,0,0,0,0,233,G16265OF,4290.5343
9,4,0,1,1,0,0,0,0,0,287,G82233NS,2011.6444
9,4,1,0,0,0,0,0,1,0,645,G82233NS,1918.6924
7,3,1,0,0,0,0,0,1,0,513,G82233NS,1553.5602
7,1,0,0,0,0,0,0,0,0,759,G50738IZ,1193.4068
9,1,0,0,0,0,0,0,0,0,674,G55394YE,1517.5124
8,1,0,0,0,0,0,0,0,0,670,G18022IK,1355.4596
10,5,0,1,0,0,0,0,0,0,720,G66760KM,2134.767
14,7,1,0,0,0,0,0,0,0,470,G45883VE,2719.9939
12,6,1,0,0,0,0,0,0,0,209,G70375MX,2354.8617
13,6,1,0,0,0,0,0,0,0,377,G90093AU,2516.9145
9,3,0,0,0,0,0,0,0,0,558,G72735IY,1599.5656
8,4,2,0,1,0,0,0,0,0,817,G97229JI,1850.612
8,4,4,0,1,0,0,0,0,0,819,G45437MK,2142.7278
8,4,3,0,1,0,0,0,0,0,818,G19461LU,1996.6699
10,4,1,1,0,0,0,0,0,0,123,G82830MN,2239.7983
9,5,0,2,0,0,0,0,0,0,534,G54612UD,2263.8096
10,6,0,2,0,0,0,0,0,0,763,G83951ZY,2466.889
15,7,1,4,0,0,0,0,0,0,372,G57581QG,4046.4283
13,6,1,3,0,0,0,0,0,0,468,G39595FH,3390.2007
19,9,1,4,0,0,0,0,0,0,508,G39595FH,4776.6927
17,8,1,4,0,0,0,0,0,0,440,G91152KU,4411.5605
9,4,0,2,0,0,0,1,0,0,827,G32169KA,2264.7936
9,4,0,2,0,0,0,2,0,0,774,G90665LO,2306.8042
8,4,1,1,1,0,0,0,0,0,62,G40221NN,1995.6495
10,4,1,1,1,0,0,0,0,0,16,G25140YL,2319.7551
7,3,1,0,0,0,0,0,0,0,713,G29880MM,1421.5179
17,8,1,0,0,0,0,0,0,0,196,G70894RY,3247.1789
15,7,1,0,0,0,0,0,0,0,486,G31544HA,2882.0467
13,6,0,1,0,0,0,0,0,0,223,G41882MT,2661.952
13,6,0,0,0,0,0,0,0,0,113,G47012YE,2370.8566
13,2,0,0,0,0,0,0,0,0,174,G47012YE,2206.7502
14,2,0,0,0,0,0,0,0,0,81,G47012YE,2368.803
13,7,1,4,0,0,0,0,0,0,554,G37570AP,3722.3227
