id	glytoucan_id	format_glyconnect	format_numeric	format_condensed	format_byonic	mass_monoisotopic	reviewed
745	G60038ZA	Hex:2 HexNAc:2 Su:1	2,2,0,0,0,0,1,0,0,0,0,0,0,0	H2N2s1	HexNAc(2)Hex(2)Sulfo(1)	828.2318	True
493	G60038ZA	Hex:2 HexNAc:2 dHex:1 Su:1	2,2,1,0,0,0,1,0,0,0,0,0,0,0	H2N2F1s1	HexNAc(2)Hex(2)dHex(1)Sulfo(1)	974.2897	True
34	G60038ZA	Hex:2 HexNAc:3 NeuAc:1	2,3,0,1,0,0,0,0,0,0,0,0,0,0	H2N3S1	HexNAc(3)Hex(2)NeuAc(1)	1242.4498	True
386	G60038ZA	Hex:1 HexNAc:3 NeuAc:1	1,3,0,1,0,0,0,0,0,0,0,0,0,0	H1N3S1	HexNAc(3)Hex(1)NeuAc(1)	1080.397	True
444	G60038ZA	Hex:3 HexNAc:3 dHex:1 NeuAc:2	3,3,1,2,0,0,0,0,0,0,0,0,0,0	H3N3F1S2	HexNAc(3)Hex(3)dHex(1)NeuAc(2)	1841.6559	True
520	G60038ZA	Hex:3 HexNAc:3 dHex:2 NeuAc:2	3,3,2,2,0,0,0,0,0,0,0,0,0,0	H3N3F2S2	HexNAc(3)Hex(3)dHex(2)NeuAc(2)	1987.7138	True
163	G18878GO	Hex:4 HexNAc:4 NeuAc:2	4,4,0,2,0,0,0,0,0,0,0,0,0,0	H4N4S2	HexNAc(4)Hex(4)NeuAc(2)	2060.7302	True
383	G26403SG	Hex:5 HexNAc:5 NeuAc:2	5,5,0,2,0,0,0,0,0,0,0,0,0,0	H5N5S2	HexNAc(5)Hex(5)NeuAc(2)	2425.8624	True
714	G37881RL	Hex:6 HexNAc:6 NeuAc:2	6,6,0,2,0,0,0,0,0,0,0,0,0,0	H6N6S2	HexNAc(6)Hex(6)NeuAc(2)	2790.9946	True
146	G37881RL	Hex:3 HexNAc:3 NeuAc:2	3,3,0,2,0,0,0,0,0,0,0,0,0,0	H3N3S2	HexNAc(3)Hex(3)NeuAc(2)	1695.598	True
156	G37881RL	Hex:2 HexNAc:3 dHex:2	2,3,2,0,0,0,0,0,0,0,0,0,0,0	H2N3F2	HexNAc(3)Hex(2)dHex(2)	1243.4702	True
702	G37881RL	Hex:1 HexNAc:2 dHex:2	1,2,2,0,0,0,0,0,0,0,0,0,0,0	H1N2F2	HexNAc(2)Hex(1)dHex(2)	878.338	True
541	G71838YU	HexNAc:2	0,2,0,0,0,0,0,0,0,0,0,0,0,0	N2	HexNAc(2)	424.1694	True
359	G71838YU	Hex:1 HexNAc:3 dHex:2	1,3,2,0,0,0,0,0,0,0,0,0,0,0	H1N3F2	HexNAc(3)Hex(1)dHex(2)	1081.4174	True
443	G71838YU	Hex:2 HexNAc:3	2,3,0,0,0,0,0,0,0,0,0,0,0,0	H2N3	HexNAc(3)Hex(2)	951.3544	True
14	G60554YG	Hex:1 HexNAc:3	1,3,0,0,0,0,0,0,0,0,0,0,0,0	H1N3	HexNAc(3)Hex(1)	789.3016	True
3	G76163CP	Hex:1 HexNAc:1 dHex:1	1,1,1,0,0,0,0,0,0,0,0,0,0,0	H1N1F1	HexNAc(1)Hex(1)dHex(1)	529.2007	True
746	G76163CP	Hex:2 HexNAc:2 dHex:3	2,2,3,0,0,0,0,0,0,0,0,0,0,0	H2N2F3	HexNAc(2)Hex(2)dHex(3)	1186.4487	True
